target_order,plugin,prefix,candidate_folders,in_downloaded_archive,in_mv_loadorder,in_nolvus_plugins,in_mv_install,in_nolvus_install
82,Lux Orbis - Master plugin.esm,Lux Orbis,Lux Orbis - Patch Hub2 (keep); High Hrothgar Fixed - Lux Orbis Parallax Patch (keep); Tel Mithryn Overhaul - High Poly and Improved Meshes - Lux Orbis Patch (keep),,yes,yes,Lux Orbis,Lux Orbis
141,Whiterun Has Walls - Navmeshed.esm,Whiterun Has Walls,Whiterun Has Walls Redone - Patch Hub2 (keep),,,,,
676,Lux Via - DK Nord Ships patch.esp,Lux Via,Lux - Via (patch hub)2 (keep); Orc Strogholds - AIO - Lux Via Patch (keep); Skybound Underhang Camp - Lux Via Patch (download),,,,,
781,Ryns Whiterun City Limits - Water for ENB (Shades of Skyrim).esp,Ryns Whiterun City Limits,Ryn's Whiterun City Limits - Patch Collection (download),,,,,
820,HLIORemi - Dwemer Backpack by Xtudo.esp,HLIORemi,,Dwemer Backpack - SE by Xtudo - Remi HDT-SMP-169893-1-1768570961.7z,,,,
965,DBM_HUB_TwilightPrincess_Patch.esp,DBM,Madmen - DBM Patch (keep),,,,,
966,LOTD_TCC_Twilight Princess Armor.esp,LOTD,LOTDV6 - Blubbos Solitude - Tree Patch (download); dbvo_jinx_lotd_patch (download); COIN - LOTD Patch (keep),,,,,
1156,DBM_HUB_SoulHunterArmor_Patch.esp,DBM,Madmen - DBM Patch (keep),,,,,
1157,LOTD_TCC_Soul Hunter Armor.esp,LOTD,LOTDV6 - Blubbos Solitude - Tree Patch (download); dbvo_jinx_lotd_patch (download); COIN - LOTD Patch (keep),,,,,
1182,Occ_Skyrim_COTN-Winterhold_patch.esp,Occ,Occiglacies (Crafting Fix) (keep); Lux - HAG - Occult Orphan Rock Patch (keep); Project AHO - CC Ghost of the tribunal Consistency Patch (keep),,,,,
1187,Occ_Skyrim_TGCotN-Winterhold-v4_patch.esp,Occ,Occiglacies (Crafting Fix) (keep); Lux - HAG - Occult Orphan Rock Patch (keep); Project AHO - CC Ghost of the tribunal Consistency Patch (keep),,,,,
1360,DBM_ZimsImmersiveArtifacts_Patch.esp,DBM,Madmen - DBM Patch (keep),,,,,
1464,DBM_JSDagger_Patch.esp,DBM,Madmen - DBM Patch (keep),,,,,
1565,JS Dragon Claws AE - Legacy of the Dragonborn.esp,JS Dragon Claws AE,,,,yes,,JS Dragon Claws AE Anniversary Edition [2K]
1566,JS Dragon Claws AE - Konahriks Accoutrements.esp,JS Dragon Claws AE,,,,yes,,JS Dragon Claws AE Anniversary Edition [2K]
1567,JS Dragon Claws AE - Wyrmstooth.esp,JS Dragon Claws AE,,,,yes,,JS Dragon Claws AE Anniversary Edition [2K]
1568,JS Dragon Claws AE - Skyrim Sewers.esp,JS Dragon Claws AE,,,,yes,,JS Dragon Claws AE Anniversary Edition [2K]
1569,JS_DBM_KA_Patch.esp,JS,Snazzy Diverse Carriages - JS Knapsacks Patch (keep); JS Common Cages - Vigilant Patch (keep); Draugr MCO - JS Emissive Eyes Patch (keep),,,yes,,JS Dragon Claws AE Anniversary Edition [2K]
1570,JS_DBM_Wyrmstooth_Patch.esp,JS,Snazzy Diverse Carriages - JS Knapsacks Patch (keep); JS Common Cages - Vigilant Patch (keep); Draugr MCO - JS Emissive Eyes Patch (keep),,,yes,,JS Dragon Claws AE Anniversary Edition [2K]
1571,JS_DBM_SkyrimSewers_Patch.esp,JS,Snazzy Diverse Carriages - JS Knapsacks Patch (keep); JS Common Cages - Vigilant Patch (keep); Draugr MCO - JS Emissive Eyes Patch (keep),,,yes,,JS Dragon Claws AE Anniversary Edition [2K]
1938,Anchor Animations Spell V2.esp,Anchor Animations Spell V2,,,,,,
1939,RUSTIC SOULGEMS - Unsorted.esp,RUSTIC SOULGEMS,,,,,,
1943,FH_Grapple.esp,FH,Wintersun - House of Horrors - TCIY Patch (keep); Wintersun - House of Horrors - Quest Expansion Patch (keep); House of Horrors - Quest Expansion - Enigma Series Patch (keep),,,,,
1947,AnchorShdSwd.esp,AnchorShdSwd,,,,,,
2031,DBM_JKArcadia_Patch.esp,DBM,Madmen - DBM Patch (keep),,,,,
2032,DBM_JKBannered_Patch.esp,DBM,Madmen - DBM Patch (keep),,,,,
2033,DBM_JKBelethor_Patch.esp,DBM,Madmen - DBM Patch (keep),,,,,
2035,DBM_JKDrunken_Patch.esp,DBM,Madmen - DBM Patch (keep),,,,,
2036,DBM_JKWarmaidens_Patch.esp,DBM,Madmen - DBM Patch (keep),,,,,
2062,NITHI NPCs - The Reach - Complete - AI Overhaul.esp,NITHI NPCs,,,,,,
2071,DBM_CC_DMD_OAPSynergy.esp,DBM,Madmen - DBM Patch (keep),,,,,
2072,DBM_CC_Fish_ToKSynergy.esp,DBM,Madmen - DBM Patch (keep),,,,,
2073,DBM_CC_Gold_AoBSynergy.esp,DBM,Madmen - DBM Patch (keep),,,,,
2074,DBM_CC_GotT_MaSSynergy.esp,DBM,Madmen - DBM Patch (keep),,,,,
