folder,primary_archive_name,primary_source,nexus_mod_id,nexus_file_id,nexus_version,nexus_mod_name,archive_count,all_archives,file_count,patched_count,inline_count,total_bytes,skse_dlls,plugins
(3)Barbarian Bodypaints - Male,(3)Barbarian Bodypaints - Male-31826-1-0-1579138821.7z,Nexus,31826,119968,1.0,Barbarian Bodypaints - Racemenu Body and Head Overlays for UUNP CBBE and Males,1,(3)Barbarian Bodypaints - Male-31826-1-0-1579138821.7z|Nexus|31826|119968,3,0,1,287100340,,BarbarianPaints.esp
(7) Community Overlays 1 - Female Face Overlays,(7) Community Overlays 1 - Female Face Overlays-22487-1-FACE-1567125201.7z,Nexus,22487,104828,1.0.1,Community Overlays 1 (0-30) Bodypaints Warpaints Tattoos and more made for the Community (Special Edition),1,(7) Community Overlays 1 - Female Face Overlays-22487-1-FACE-1567125201.7z|Nexus|22487|104828,26,0,1,559256972,,
(ABF) Assorted Behavior Fixes,Assorted Behavior Fixes-167000-3-4-1777668188.zip,Nexus,167000,747679,1.0,Assorted Behavior Fixes,1,Assorted Behavior Fixes-167000-3-4-1777668188.zip|Nexus|167000|747679,189,0,1,185547,,
(CC) Spell Knight Armor - Ryn's Karthspire,(CC) Spell Knight Armor - Ryn's Karthspire-82657-1-01-1718199913.rar,Nexus,82657,510907,1.00,Ryn's Karthspire Patches,1,(CC) Spell Knight Armor - Ryn's Karthspire-82657-1-01-1718199913.rar|Nexus|82657|510907,2,0,1,50668,,(CC) Spell Knight Armor - Ryn's Karthspire.esp
(DAR)More Noemic drink animations SE,More Noemic Drink Animations SE for All_V2-61212-V2-1647622305.zip,Nexus,61212,270957,V2,(DAR)More Noemic drink animations SE,1,More Noemic Drink Animations SE for All_V2-61212-V2-1647622305.zip|Nexus|61212|270957,11,0,1,5030121,,
(DAR)Telekinesis wood chopping,Telekinesis_wood_choping_SE_V1_for_AllWitchNPC-64888-V1-1647156843.zip,Nexus,64888,269801,V1,(DAR)Telekinesis wood chopping,1,Telekinesis_wood_choping_SE_V1_for_AllWitchNPC-64888-V1-1647156843.zip|Nexus|64888|269801,5,1,1,1987358,,
(FLM) WorldSpaces Patches for Vigilant,(FLM) WorldSpaces Patches for Vigilant-11849-1-7-x-1694617699.rar,Nexus,11849,425477,1.7.3,VIGILANT SE,1,(FLM) WorldSpaces Patches for Vigilant-11849-1-7-x-1694617699.rar|Nexus|11849|425477,2,0,1,12998,,
(SaltLemon) Desert Trader 3BA Sliders,(SaltLemon) Desert Trader 3BA Sliders-SkyrimSE-182118-f1-03-763237.7z,Nexus,182118,763237,1,Desert Trader (3BA - HIMBO - Vanilla),1,(SaltLemon) Desert Trader 3BA Sliders-SkyrimSE-182118-f1-03-763237.7z|Nexus|182118|763237,66,0,1,601410864,,
(SaltLemon) Desert Trader Hands Redone patch,(SaltLemon) Desert Trader Hands Redone patch-182118-1-1781035163.7z,Nexus,182118,761692,1,Desert Trader (3BA - HIMBO - Vanilla),1,(SaltLemon) Desert Trader Hands Redone patch-182118-1-1781035163.7z|Nexus|182118|761692,8,0,1,4655004,,
(SaltLemon) Desert Trader Vanilla Refit,(SaltLemon) Desert Trader Vanilla Refit-182118-1-1781034999.7z,Nexus,182118,761687,1,Desert Trader (3BA - HIMBO - Vanilla),2,(SaltLemon) Desert Trader Vanilla Refit-182118-1-1781034999.7z|Nexus|182118|761687;(SaltLemon) Desert Trader 2k 182118 1.05 2026-06-20T19-26Z 6XybdawFG.7z|Nexus|182118|766069,84,0,1,331445761,,
(SBF) State Behavior Framework,State Behavior Framework 2.0 164546 2.0 2026-08-08T17-07Z 8gJHT4FCH.zip,Nexus,164546,787070,1.0,State Behavior Framework,1,State Behavior Framework 2.0 164546 2.0 2026-08-08T17-07Z 8gJHT4FCH.zip|Nexus|164546|787070,522,0,1,1307609,,
(U1PC) Unlocked 1st Person Combat,Unlocked 1st Person Combat-164095-1-3-1777425921.zip,Nexus,164095,746895,1.0,Unlocked 1st Person Combat,1,Unlocked 1st Person Combat-164095-1-3-1777425921.zip|Nexus|164095|746895,6,0,1,6820,,
