folder,target_line,category,nexus_mod_id,nexus_mod_name,nexus_author,match_method,confidence,suggested_file_id,suggested_file_name,suggested_file_version,file_category,related_plugins,notes
Skyshards - CS Light Addon,2,nexus_found,150715,Skyshards - CS Light Addon,Polluxe (uploader UnseekedFate),name_exact,high,633538,Skyshards - CS Light Addon,1.0.0,MAIN,,folder matches the file name
CS shaders,3,custom,,,,manual_hint,high,,,,,,locally assembled Community Shaders shader files
Pandora Output,5,generated,,,,manual_hint,high,,,,,,Pandora Behaviour Engine output
CustomFixes1,6,custom,,,,manual_hint,high,,,,,,user's custom fixes
CommunityShaders_AIO-2026-05-28T17-09Z,26,custom,,,,manual_hint,high,,,,,,"timestamped Community Shaders AIO build (CI/nightly artifact, not a Nexus release)"
dyndolodCS2,27,generated,,,,manual_hint,high,,,,,,DynDOLOD output
texgenCS,28,generated,,,,manual_hint,high,,,,,,TexGen output
grass CS,29,generated,,,,manual_hint,high,,,,,,grass cache / grass precache output
pgpatcher_output,31,generated,,,,manual_hint,high,,,,,,ParallaxGen / PG Patcher output
SYNTHESSIS,32,generated,,,,manual_hint,high,,,,,,Synthesis patcher output
overwrite2,33,custom,,,,manual_hint,high,,,,,,renamed MO2 overwrite contents
Nature of the Wild Lands - Animations Addon,35,nexus_found,148132,Nature of the Wild Lands - Animations Addon,Ylikollikas and fxxkthisworld,name_exact,high,715711,Nature of the Wild Lands - Animations MESHES,1.04,MAIN,Nature of the Wild Lands - Animation Plugin.esp,linked plugin(s) found in this mod's files: Nature of the Wild Lands - Animation Plugin.esp | folder matches the file name
Nature of the Wild Lands - Animations Addon - PBR,36,nexus_found,148132,Nature of the Wild Lands - Animations Addon,Ylikollikas and fxxkthisworld,name_exact,high,715712,Nature of the Wild Lands - Animations Addon - PBR,1.04,OPTIONAL,,folder matches the file name
Guardians of Valtheim ALT MOUNTAIN TXT SCALED,37,nexus_found,145116,Guardians of Valtheim,SKYKLF,name_exact,high,663080,Guardians of Valtheim ALT MOUNTAIN TXT SCALED,2.1,OPTIONAL,Valtheim Guardians.esp,folder matches the file name
Guardians of Valtheim,38,nexus_found,145116,Guardians of Valtheim,SKYKLF,name_exact,high,630304,Guardians of Valtheim,2.0,MAIN,Valtheim Guardians.esp,linked plugin(s) found in this mod's files: Valtheim Guardians.esp | folder matches the file name
Fantasy Cities - Cross of Lake Ilinalta only SE,39,nexus_found,111958,Fantasy Cities - Cross of Lake Ilinalta only SE,Original by congtuan999 and modified by turtlegodking,name_exact,high,472127,Fantasy Cities - Cross of Lake Ilinalta only,1.0,ARCHIVED,Fantasy Cities - Cross of Lake Ilinalta.esp,linked plugin(s) found in this mod's files: Fantasy Cities - Cross of Lake Ilinalta.esp | folder matches the file name | suggested file only exists as ARCHIVED; current MAIN: Fantasy Cities - Cross of Lake Ilinalta v1.0.2 (#534037)
Templar Assassin Armor PBR (2K),41,nexus_found,169136,Templar Assassin Armor - Complex Material and PBR,Leo,name_exact,high,706797,Templar Assassin Armor PBR (2K),1.0.0,MAIN,,other files match equally well: Templar Assassin Armor PBR (4K) | folder matches the file name
NordwarUA Legions PBR,42,not_found,,,,,,,,,,,"closest: NordwarUA - New Legion - SOSAM Conversion (#99071, s=0.49, dl=498)"
Complex Silverware PBR,43,nexus_found,131693,Complex Silverware - PBR and Complex Material,Leo,name_exact,high,773101,Complex Silverware PBR,1.5.0,MAIN,,folder matches the file name
Praedy's Chantry of Auriel - PBR,44,nexus_found,145417,Praedy's Chantry of Auriel - PBR,Praedyth - Sym3tric,name_exact,high,,,,,Praedy's AncientFalmerThrone.esp,no file name matches the folder; several MAIN files: Praedy's Chantry PBR - 2K | Praedy's Chantry PBR - 4K
