line,folder,section,category,action,matched_via,nolvus_official_option,nolvus_official_version,nolvus_snapshots,in_mv,mv_skse_dlls,nexus_mod_id,nexus_file_id,nexus_version,plugins,note
2,Skyshards - CS Light Addon,cshader,unknown,review,exact,,,,,,,,,,not in any snapshot; identify on Nexus
3,CS shaders,cshader,custom,drop,exact,,,,,,,,,,probably a Community Shaders shader cache or local tweak
5,Pandora Output,11. ENB & RESHADE,generated,regenerate,exact,,,,,,,,,,Pandora Behaviour Engine output (run Pandora with -o)
6,CustomFixes1,11. ENB & RESHADE,custom,drop,exact,,,,,,,,,,author's private fixes (likely holds the [FIX]*.esp plugins)
8,Midwood Isle Paper Map,MV FPWM,nolvus,harvest_nolvus,exact,Not Graphics Only,1.71,nolvus-awekening-redux;nolvus-awakening-v6;nolvus-v6-ultimate-open-beta-start,,,,,,,
9,Paper Darkend Map - Update,MV FPWM,nolvus,harvest_nolvus,exact,Not Graphics Only,1.01,nolvus-awekening-redux;nolvus-awakening-v6;nolvus-v6-ultimate-open-beta-start,,,,,,,
10,Paper Darkend Map,MV FPWM,nolvus,harvest_nolvus,exact,Not Graphics Only,1.0,nolvus-awekening-redux;nolvus-awakening-v6;nolvus-v6-ultimate-open-beta-start,,,,,,,
11,Deepwood Vale Paper Map,MV FPWM,nolvus,harvest_nolvus,exact,Always Install,1.71,nolvus-awekening-redux;nolvus-awakening-v6;nolvus-v6-ultimate-open-beta-start,,,,,,,
12,Skuldafn Paper Map - Update,MV FPWM,nolvus,harvest_nolvus,exact,Always Install,1.01,nolvus-awekening-redux;nolvus-awakening-v6;nolvus-v6-ultimate-open-beta-start,,,,,,,
13,Skuldafn Paper Map,MV FPWM,nolvus,harvest_nolvus,exact,Always Install,1.1,nolvus-awekening-redux;nolvus-awakening-v6;nolvus-v6-ultimate-open-beta-start,,,,,,,
14,Paper Coldharbour Map - Update,MV FPWM,nolvus,harvest_nolvus,exact,Not Graphics Only,1.01,nolvus-awekening-redux;nolvus-awakening-v6;nolvus-v6-ultimate-open-beta-start,,,,,,,
15,Paper Coldharbour Map,MV FPWM,nolvus,harvest_nolvus,exact,Not Graphics Only,1.0,nolvus-awekening-redux;nolvus-awakening-v6;nolvus-v6-ultimate-open-beta-start,,,,,,,
16,Soul Cairn Paper Map,MV FPWM,nolvus,harvest_nolvus,exact,Always Install,1.8,nolvus-awekening-redux;nolvus-awakening-v6;nolvus-v6-ultimate-open-beta-start,,,,,,,
17,Beyond Skyrim Bruma Paper Map,MV FPWM,nolvus,harvest_nolvus,exact,Not Graphics Only,1.72,nolvus-awekening-redux;nolvus-awakening-v6;nolvus-v6-ultimate-open-beta-start,,,,,,,
18,Forgotten Vale Paper Map,MV FPWM,nolvus,harvest_nolvus,exact,Always Install,1.8,nolvus-awekening-redux;nolvus-awakening-v6;nolvus-v6-ultimate-open-beta-start,,,,,,,
19,Sovngarde Paper Map,MV FPWM,nolvus,harvest_nolvus,exact,Always Install,1.72,nolvus-awekening-redux;nolvus-awakening-v6;nolvus-v6-ultimate-open-beta-start,,,,,,,
20,Blackreach Paper Map,MV FPWM,nolvus,harvest_nolvus,exact,Always Install,1.75,nolvus-awekening-redux;nolvus-awakening-v6;nolvus-v6-ultimate-open-beta-start,,,,,,,
