folder,action,nexus_mod_id,nexus_file_id,nexus_version,note
Fortified Morthal - PBR Brick and Roof,download,169263,707429,1.0,第二個檔（2K PBR Roof）：用 MO2 安裝到同一資料夾，選 Merge
Modern Hay - PBR and CM,download,155815,652905,1,第二個檔（Hay Bale Fix PBR）：用 MO2 安裝到同一資料夾，選 Merge（覆蓋主檔的同名模型）
Dwemer Researcher Backpack - Standalone and Remiel replacer - SE by Xtudo - Lucien patch lantern,download,169893,723624,1.2,第二個檔（Remi Lantern）：用 MO2 安裝到同一資料夾，選 Merge
Nature of the Wild Lands - Animations Addon,download,148132,669507,1.03,PLUGINS FOMOD（預設擺動幅度）：用 MO2 安裝到同一資料夾，選 Merge
CC Myrwatch - Tweaks and Enhancements (MyrTE),download,97659,664142,1.5.4,MyrTE - USCCP Merged（目標的 Myrwatch - TnE - USCCP Merged.esp）；fill_plugins 會只取出 esp
Whiterun Has Walls Redone - Patch Hub2,download,119229,728002,3.0.2,fill_plugins 補插件：預覽確認；Whiterun Has Walls Redone（51.2 MB）
eFPS - Unofficial Patches2,download,70176,469057,1.49,fill_plugins 補插件：預覽確認；Unofficial eFPS Patches - FOMOD（0.9 MB）
eFPS - Official Patch Hub2,download,54998,273650,1.7a,fill_plugins 補插件：預覽確認；eFPS - Official Patch Hub（55.7 MB）
AI Overhaul - Nithi NPC Enhancements Patch Hub,download,81955,379579,1.3,fill_plugins 補插件：預覽確認；Nithi NPC - Patch Hub - FOMOD（0.3 MB）
BeastHHBB - Patches and Addons,download,38480,467777,3.8,fill_plugins 補插件：預覽確認；BeastHHBB - Patches and Addons（160.7 MB）
Madmen - Patches,download,98579,443194,2.0.2,fill_plugins 補插件：預覽確認；Madmen A Forsworn Overhaul（44.2 MB）
Fortified Morthal - Patches Collection2,download,126697,731660,2.4.1,fill_plugins 補插件：預覽確認；Fortified Morthal - Patch Collection（14.9 MB）
Thuldor's Ivarstead - Patch Collection2,download,99494,458921,1.2.0,fill_plugins 補插件：預覽確認；Thuldor's Ivarstead - Patch Collection（2.9 MB）
The Great Village of Kynesgrove Patch Collection2,download,42957,386405,1.2,fill_plugins 補插件：預覽確認；Great Village of Kynesgrove - AI Overhaul Patch（0.0 MB）
The Great Village of Kynesgrove Patch Collection2,download,42957,529023,1.1,fill_plugins 補插件：預覽確認；Great Village of Kynesgrove - SUDs Patch（0.0 MB）
The Great Town of Shor's Stone Patch Collection,download,36462,592872,2.4.1,fill_plugins 補插件：預覽確認；Great Town of Shor's Stone Patch Collection（4.9 MB）
Orc Strongholds - AIO - Patches Collection,download,160944,673313,1.0.0,fill_plugins 補插件：預覽確認；Orc Strongholds - AIO - 3DNPCs Patch（0.0 MB）
Orc Strongholds - AIO - Patches Collection,download,160944,673872,1.2.0,fill_plugins 補插件：預覽確認；Orc Strongholds - AIO - Mihail's Ogres and Ettins（0.0 MB）
Orc Strongholds - AIO - Patches Collection,download,160944,673873,1.2.0,fill_plugins 補插件：預覽確認；Orc Strongholds - AIO - Mihail's Goblins and Riekr（0.0 MB）
Orc Exiles - Bilegulch - Patch Collection,download,130316,761387,2.0.2,fill_plugins 補插件：預覽確認；Orc Exiles - Bilegulch - Patch Collection FOMOD（3.6 MB）
Orc Exiles - Rift Watchtower - Patches Collection,download,161297,674787,1.0.0,fill_plugins 補插件：預覽確認；Orc Exiles - Rift Watchtower - 3DNPCs（0.0 MB）
Candlehearth - Unofficial Patches2,download,98412,452726,1.16,fill_plugins 補插件：預覽確認；Candlehearth - Unofficial Patches（0.2 MB）
Cities of the North - Falkreath Patch Collection2,download,56734,708837,1.29,fill_plugins 補插件：舊版預覽確認，取最新 MAIN；COTN Falkreath Patch Collection（12.7 MB）
COTN Dawnstar Patch Collection2,download,30885,725411,5.9,fill_plugins 補插件：舊版預覽確認，取最新 MAIN；COTN Dawnstar Patch Collection（49.2 MB）
Ivy - Cozy Corner Patch Hub3,download,138863,723691,1.5.7,fill_plugins 補插件：預覽確認；Ivy - Cozy Corner Patch Hub（18.6 MB）
COTN Winterhold Patch Collection2,download,40181,629416,2.17,fill_plugins 補插件：預覽確認；COTN Winterhold Patch Collection（11.0 MB）
Nightgate Inn Revived - Patches and Addons,download,121244,637645,1.6,fill_plugins 補插件：預覽確認；Nightgate Inn Revived - Patches and Addons（9.1 MB）
Medieval Markets - Patches Collection3,download,161664,757805,1.6.0,fill_plugins 補插件：預覽確認；Medieval Markets - Patches Collection（8.9 MB）
Nature of the Wild Lands - Patch Collection2,download,63604,613478,3.10,fill_plugins 補插件：預覽確認；Nature of the Wild Lands - Patch Collection（59.1 MB）
JK's Tel Mithryn Patch Collection2,download,154109,741874,1.3,fill_plugins 補插件：預覽確認；JK's Tel Mithryn Patch Collection（0.2 MB）
JK's Solitude Outskirts Patch Collection3,download,103927,741878,1.13.1,fill_plugins 補插件：舊版預覽確認，取最新 MAIN；JK's Solitude Outskirts Patch Collection（13.8 MB）
Green Thumb - Lush Cities of Skyrim2,download,149515,723730,1.3,fill_plugins 補插件：預覽確認（Solitude 選項）；Green Thumb - Lush Cities of Skyrim（4.2 MB）
Aetherius - A Race Overhaul,download,26686,515490,2.14.1,fill_plugins 補插件：預覽確認（module skills；與目標同版 2.14.1）；Aetherius - A Race Overhaul（2.2 MB）
Nature of the Wild Lands - forest and trees improvement mod2,download,63604,661793,3.14,fill_plugins 補插件：預覽確認（optional/NotWL - Autumn Rift.esp）；Nature of the Wild Lands（1634.4 MB）
Snazzy Interiors Patch Collection2,download,91604,786655,2.8,fill_plugins 補插件：沒有預覽，取最新 MAIN；Snazzy Interiors Patch Collection（102.8 MB）
JK's Interiors Patch Collection,download,35910,706051,5.29.1,fill_plugins 補插件：沒有預覽，取最新 MAIN；JK's Interiors Patch Collection（17.3 MB）
JKs Guild HQ Interiors Patch Collection,download,61416,745001,1.29.1,fill_plugins 補插件：沒有預覽，取最新 MAIN；JK's Guild HQ Interiors Patch Collection（4.5 MB）
Legacy of the Dragonborn Patches (Official)2,download,30980,783661,6.10.9,fill_plugins 補插件：沒有預覽，取最新 MAIN；Legacy of the Dragonborn Patches (Official)（0.0 MB）
